FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
7.138388839,0.015411921,0.009128631,0.021853147
7.189581458,0.015515175,0.009128631,0.022202486
7.240774077,0.015643317,0.009205021,0.022258863
7.291966697,0.015787024,0.009322034,0.022667829
7.343159316,0.015899565,0.009531374,0.022708841
7.394351935,0.016005149,0.009556907,0.023029229
7.445544554,0.016088154,0.009615385,0.023235800
7.496737174,0.016136894,0.009683099,0.023294508
7.547929793,0.016161419,0.009683099,0.023294508
7.599122412,0.016169690,0.009683099,0.023294508
7.650315032,0.016176287,0.009683099,0.023294508
7.701507651,0.016178956,0.009683099,0.023294508
7.752700270,0.016178956,0.009683099,0.023294508
7.803892889,0.016178956,0.009683099,0.023294508
7.855085509,0.016178956,0.009683099,0.023294508
7.906278128,0.016178956,0.009683099,0.023294508
7.957470747,0.016178956,0.009683099,0.023294508
8.008663366,0.016178956,0.009683099,0.023294508
8.059855986,0.016180694,0.009724474,0.023294508
8.111048605,0.016189758,0.009724474,0.023294508
8.162241224,0.016211811,0.009724474,0.023294508
8.213433843,0.016236218,0.009724474,0.023294508
8.264626463,0.016290333,0.009724474,0.023356402
8.315819082,0.016364571,0.009725906,0.023584906
8.367011701,0.016452776,0.009725906,0.023584906
8.418204320,0.016595542,0.009803922,0.023853211
8.469396940,0.016732479,0.009856631,0.024026511
8.520589559,0.016907498,0.010058676,0.024026511
8.571782178,0.017055376,0.010238908,0.024489796
8.622974797,0.017196270,0.010425717,0.024729520
8.674167417,0.017340871,0.010489510,0.024859663
8.725360036,0.017475422,0.010664479,0.024978466
8.776552655,0.017571023,0.010664479,0.025137471
8.827745275,0.017674102,0.010664479,0.025137471
8.878937894,0.017759657,0.010752688,0.025359256
8.930130513,0.017799057,0.010824313,0.025437202
8.981323132,0.017825572,0.010824313,0.025437202
9.032515752,0.017839529,0.010824313,0.025437202
9.083708371,0.017847946,0.010824313,0.025437202
9.134900990,0.017848790,0.010824313,0.025437202
9.186093609,0.017853040,0.010824313,0.025437202
9.237286229,0.017853040,0.010824313,0.025437202
9.288478848,0.017853040,0.010824313,0.025437202
9.339671467,0.017853040,0.010824313,0.025437202
9.390864086,0.017858006,0.010824313,0.025451560
9.442056706,0.017873058,0.010824313,0.025451560
9.493249325,0.017885745,0.010824313,0.025451560
9.544441944,0.017911131,0.010824313,0.025451560
9.595634563,0.017952649,0.010824313,0.025451560
9.646827183,0.018031597,0.010896899,0.025577558
9.698019802,0.018122895,0.010896899,0.025790349
9.749212421,0.018201873,0.010896899,0.025876461
9.800405041,0.018302932,0.011016949,0.025951557
9.851597660,0.018399296,0.011304348,0.025962399
9.902790279,0.018509964,0.011484823,0.026028547
9.953982898,0.018576069,0.011484823,0.026028547
10.005175518,0.018620510,0.011656952,0.026459854
